LAMMPS data file via write_data, version 4 Jun 2018, timestep = 0

2999 atoms
4 atom types

0 40 xlo xhi
0 40 ylo yhi
0 40 zlo zhi

Masses

1 15.9994 
2 28.0855 
3 26.9815 
4 40.078 

Atoms # charge

1 4 1.20000000 18.34800000 10.05300000 4.45200000
2 1 -1.20000000 16.14400000 9.20900000 4.91600000
3 4 1.20000000 26.92500000 24.12900000 9.99500000
4 1 -1.20000000 24.67300000 24.63500000 10.67100000
5 4 1.20000000 15.93100000 27.24500000 11.70700000
6 1 -1.20000000 16.92900000 26.95100000 9.53800000
7 4 1.20000000 8.69800000 2.80200000 34.27300000
8 1 -1.20000000 11.03800000 2.74500000 34.82600000
9 4 1.20000000 28.93800000 3.95400000 29.42500000
10 1 -1.20000000 29.64300000 1.69300000 29.00900000
11 4 1.20000000 35.82300000 17.72100000 30.88900000
12 1 -1.20000000 37.76500000 16.36100000 30.48600000
13 4 1.20000000 35.42800000 34.00400000 7.74700000
14 1 -1.20000000 36.63100000 36.06800000 7.47100000
15 4 1.20000000 27.71100000 20.11100000 2.04800000
16 1 -1.20000000 25.89700000 21.66100000 2.34900000
17 4 1.20000000 27.23500000 10.80400000 38.00900000
18 1 -1.20000000 29.07600000 12.35100000 38.01000000
19 4 1.20000000 17.25300000 7.58600000 10.80600000
20 1 -1.20000000 18.10000000 9.69600000 11.59000000
21 4 1.20000000 17.75000000 37.11200000 36.29200000
22 1 -1.20000000 19.44900000 35.94700000 35.05000000
23 4 1.20000000 30.79500000 23.74300000 1.04900000
24 1 -1.20000000 28.56400000 23.14300000 0.38100000
25 4 1.20000000 29.53800000 5.98800000 23.79100000
26 1 -1.20000000 31.32900000 7.58100000 23.99200000
27 4 1.20000000 32.00700000 13.13600000 8.21000000
28 1 -1.20000000 34.24300000 13.40600000 9.05400000
29 4 1.20000000 11.55500000 9.41400000 28.37000000
30 1 -1.20000000 10.96500000 10.84600000 30.21000000
31 4 1.20000000 29.50500000 10.00200000 15.13500000
32 1 -1.20000000 28.00000000 8.36900000 14.21200000
33 4 1.20000000 13.01700000 26.22200000 15.40400000
34 1 -1.20000000 11.40500000 24.45000000 15.19200000
35 4 1.20000000 25.38500000 9.38500000 30.54200000
36 1 -1.20000000 26.61900000 7.70000000 31.73300000
37 4 1.20000000 26.42100000 30.04100000 35.16800000
38 1 -1.20000000 25.96200000 32.38600000 35.44500000
39 4 1.20000000 34.98500000 7.65200000 6.83000000
40 1 -1.20000000 36.89500000 8.55200000 5.67900000
41 4 1.20000000 4.15100000 1.05300000 29.80100000
42 1 -1.20000000 5.51500000 2.10200000 28.12000000
43 4 1.20000000 25.22600000 24.90100000 14.81000000
44 1 -1.20000000 24.78400000 27.20100000 14.26500000
45 4 1.20000000 5.62100000 18.78300000 22.97300000
46 1 -1.20000000 4.51800000 17.50100000 21.26400000
47 4 1.20000000 3.75200000 28.08200000 16.41600000
48 1 -1.20000000 4.56300000 30.34200000 16.54200000
49 4 1.20000000 7.64100000 19.12800000 12.01100000
50 1 -1.20000000 7.15700000 21.41500000 11.44700000
51 4 1.20000000 24.11700000 34.92800000 26.24600000
52 1 -1.20000000 26.50900000 35.17500000 26.26600000
53 4 1.20000000 17.26600000 6.38500000 1.56500000
54 1 -1.20000000 19.27800000 7.14600000 2.64100000
55 4 1.20000000 2.68700000 17.84100000 1.98700000
56 1 -1.20000000 4.53200000 19.13900000 2.82000000
57 4 1.20000000 13.12100000 19.94500000 35.78600000
58 1 -1.20000000 11.33400000 19.79700000 34.18400000
59 4 1.20000000 4.46100000 3.94100000 34.78700000
60 1 -1.20000000 2.27800000 2.98900000 35.12300000
61 4 1.20000000 9.46800000 20.39600000 14.14200000
62 1 -1.20000000 7.42200000 21.60200000 13.76300000
63 4 1.20000000 22.94700000 35.21200000 6.14900000
64 1 -1.20000000 24.88100000 35.45400000 7.55600000
65 4 1.20000000 8.10000000 29.32400000 1.21600000
66 1 -1.20000000 7.16200000 31.16900000 -0.00800000
67 4 1.20000000 21.17800000 32.01300000 0.91500000
68 1 -1.20000000 20.17100000 34.19700000 0.95400000
69 4 1.20000000 17.75600000 12.11300000 24.30500000
70 1 -1.20000000 17.56500000 9.77100000 23.79200000
71 4 1.20000000 6.55900000 15.75600000 10.44600000
72 1 -1.20000000 6.50400000 13.49300000 9.63400000
73 4 1.20000000 19.04200000 13.29500000 21.42000000
74 1 -1.20000000 19.06000000 11.27100000 22.71900000
75 4 1.20000000 7.09600000 14.25100000 28.91400000
76 1 -1.20000000 7.68300000 16.51200000 29.48500000
77 4 1.20000000 30.23700000 2.60300000 8.27900000
78 1 -1.20000000 31.49700000 4.60800000 8.69600000
79 4 1.20000000 12.65600000 38.00500000 11.85500000
80 1 -1.20000000 15.05400000 38.00500000 11.66000000
81 4 1.20000000 27.10900000 14.34700000 13.79900000
82 1 -1.20000000 29.24000000 14.43600000 14.90900000
83 4 1.20000000 0.69300000 35.57400000 28.02200000
84 1 -1.20000000 1.73400000 33.62500000 27.07100000
85 4 1.20000000 10.12900000 30.61100000 9.31000000
86 1 -1.20000000 12.01600000 29.20200000 8.82400000
87 4 1.20000000 7.37800000 37.18000000 17.98800000
88 1 -1.20000000 6.59100000 34.92300000 17.72500000
89 4 1.20000000 21.33900000 8.25100000 22.08200000
90 1 -1.20000000 22.89700000 10.06300000 21.81000000
91 4 1.20000000 11.03400000 12.01200000 24.40500000
92 1 -1.20000000 13.24600000 11.36800000 23.71400000
93 4 1.20000000 14.99500000 2.90700000 24.33800000
94 1 -1.20000000 15.78200000 4.97400000 25.28200000
